set,1st_analysis_time,abstractions,analysis_time (s),mem (MB),refinements,total_time (s),
08_1a.auxdisplay--cfag12864b.004,6.74,1802,6.74,178,9,6.74,
08_1a.auxdisplay--cfag12864b.005,6.88,1802,6.88,177,9,6.88,
08_1a.auxdisplay--cfag12864b.006,6.99,1802,6.99,168,9,6.99,
08_1a.block--drbd--drbd.001,3.25,47,3.25,270,2,3.25,
08_1a.block--drbd--drbd.002,4.18,47,4.18,336,2,4.18,
08_1a.block--drbd--drbd.003,4.39,47,4.39,342,2,4.39,
08_1a.block--drbd--drbd.004,4.2,47,4.2,338,2,4.2,
08_1a.block--drbd--drbd.005,4.14,47,4.14,339,2,4.14,
08_1a.block--drbd--drbd.006,3.29,47,3.29,272,2,3.29,
08_1a.block--drbd--drbd.007,4.42,47,4.42,346,2,4.42,
08_1a.block--drbd--drbd.008,4.28,47,4.28,340,2,4.28,
08_1a.block--drbd--drbd.009,4.46,47,4.46,339,2,4.46,
08_1a.block--drbd--drbd.010,4.35,47,4.35,345,2,4.35,
08_1a.block--drbd--drbd.011,4.3,47,4.3,334,2,4.3,
08_1a.block--drbd--drbd.012,3.18,47,3.18,274,2,3.18,
08_1a.block--drbd--drbd.013,4.22,47,4.22,335,2,4.22,
08_1a.block--drbd--drbd.014,3.29,47,3.29,272,2,3.29,
08_1a.block--drbd--drbd.015,4.3,47,4.3,331,2,4.3,
08_1a.block--drbd--drbd.016,3.39,47,3.39,272,2,3.39,
08_1a.block--drbd--drbd.017,4.24,47,4.24,338,2,4.24,
08_1a.block--drbd--drbd.018,4.39,47,4.39,339,2,4.39,
08_1a.block--drbd--drbd.019,4.09,47,4.09,336,2,4.09,
08_1a.block--drbd--drbd.020,4.32,47,4.32,338,2,4.32,
08_1a.block--drbd--drbd.021,3.46,47,3.46,274,2,3.46,
08_1a.block--drbd--drbd.022,3.14,47,3.14,269,2,3.14,
08_1a.block--drbd--drbd.023,4.32,47,4.32,344,2,4.32,
08_1a.block--drbd--drbd.024,3.34,47,3.34,266,2,3.34,
08_1a.block--drbd--drbd.025,4.2,47,4.2,341,2,4.2,
08_1a.block--drbd--drbd.026,3.17,47,3.17,273,2,3.17,
08_1a.block--drbd--drbd.027,4.38,47,4.38,343,2,4.38,
08_1a.block--drbd--drbd.028,3.24,47,3.24,273,2,3.24,
08_1a.block--drbd--drbd.029,3.13,47,3.13,267,2,3.13,
08_1a.block--drbd--drbd.030,4.4,47,4.4,350,2,4.4,
08_1a.block--drbd--drbd.043,3.26,47,3.26,274,2,3.26,
08_1a.block--drbd--drbd.046,3.31,47,3.31,267,2,3.31,
08_1a.block--drbd--drbd.047,3.31,47,3.31,265,2,3.31,
08_1a.block--drbd--drbd.048,3.28,47,3.28,268,2,3.28,
08_1a.block--drbd--drbd.049,3.1,47,3.1,273,2,3.1,
08_1a.block--drbd--drbd.050,3.22,47,3.22,271,2,3.22,
08_1a.block--drbd--drbd.051,2.98,47,2.98,275,2,2.98,
08_1a.block--drbd--drbd.052,3.22,47,3.22,268,2,3.22,
08_1a.block--drbd--drbd.053,3.49,47,3.49,267,2,3.49,
08_1a.block--drbd--drbd.054,3.34,47,3.34,268,2,3.34,
08_1a.block--drbd--drbd.055,3.21,47,3.21,274,2,3.21,
08_1a.block--drbd--drbd.056,3.33,47,3.33,269,2,3.33,
08_1a.block--drbd--drbd.057,3.21,47,3.21,268,2,3.21,
08_1a.block--drbd--drbd.058,3.33,47,3.33,266,2,3.33,
08_1a.block--drbd--drbd.059,3.17,47,3.17,266,2,3.17,
08_1a.block--drbd--drbd.060,3.35,47,3.35,271,2,3.35,
08_1a.block--drbd--drbd.061,3.19,47,3.19,274,2,3.19,
08_1a.block--drbd--drbd.062,3.22,47,3.22,271,2,3.22,
08_1a.block--drbd--drbd.063,3.38,47,3.38,273,2,3.38,
08_1a.block--drbd--drbd.064,3.25,47,3.25,275,2,3.25,
08_1a.block--drbd--drbd.065,3.26,47,3.26,271,2,3.26,
08_1a.block--drbd--drbd.066,3.54,47,3.54,264,2,3.54,
08_1a.block--drbd--drbd.067,3.26,47,3.26,265,2,3.26,
08_1a.block--drbd--drbd.068,2.99,47,2.99,262,2,2.99,
08_1a.block--drbd--drbd.069,3.4,47,3.4,268,2,3.4,
08_1a.block--drbd--drbd.070,3.46,47,3.46,275,2,3.46,
08_1a.block--drbd--drbd.071,3.4,47,3.4,272,2,3.4,
08_1a.block--drbd--drbd.072,3,47,3,266,2,3,
08_1a.block--drbd--drbd.073,3.36,47,3.36,274,2,3.36,
08_1a.block--drbd--drbd.074,3.18,47,3.18,252,2,3.18,
08_1a.block--drbd--drbd.075,2.94,47,2.94,266,2,2.94,
08_1a.block--drbd--drbd.076,3.21,47,3.21,269,2,3.21,
08_1a.block--drbd--drbd.077,3.24,47,3.24,269,2,3.24,
08_1a.block--drbd--drbd.078,3.11,47,3.11,272,2,3.11,
08_1a.block--drbd--drbd.079,3.22,47,3.22,252,2,3.22,
08_1a.block--drbd--drbd.080,3.41,47,3.41,267,2,3.41,
08_1a.block--drbd--drbd.081,3.23,47,3.23,268,2,3.23,
08_1a.block--drbd--drbd.082,3.39,47,3.39,267,2,3.39,
08_1a.block--drbd--drbd.083,3.25,47,3.25,255,2,3.25,
