set,1st_analysis_time,RR,abstractions,analysis_time (s),analysis_time* (s),anno hits,anno size,anno_read_time,anno_reuse_time,anno_write_time,cfadiff_time,impact_analysis_time,mem (MB),refinements,solved,total_time (s),
08_1a.auxdisplay--cfag12864b.004,1.79,0.09,153,1.79,0.92,16,1377,0.11,0.87,0.02,1.56,0.51,72,0,1,3.35,
08_1a.auxdisplay--cfag12864b.005,1.8,0.15,135,1.8,0.81,23,1392,0.15,0.99,0.02,1.69,0.37,77,0,1,3.49,
08_1a.auxdisplay--cfag12864b.006,1.73,0.14,136,1.73,0.79,23,1409,0.14,0.94,0.02,1.79,0.45,73,0,1,3.52,
08_1a.block--drbd--drbd.001,5.47,0.82,2,5.47,0.02,9,3460,0.43,5.45,0.05,38.46,0,731,0,1,43.93,
08_1a.block--drbd--drbd.010,4.92,0.82,2,4.92,0.02,9,3416,0.24,4.9,0.05,44.9,0,649,0,1,49.82,
08_1a.block--drbd--drbd.011,4.74,0.82,2,4.74,0.02,9,3405,0.25,4.72,0.06,47.56,1.18,676,0,1,52.3,
08_1a.block--drbd--drbd.012,4.54,0.82,2,4.54,0.02,9,3405,0.25,4.52,0.05,44.59,1.59,668,0,1,49.13,
08_1a.block--drbd--drbd.013,4.58,0.82,2,4.58,0.02,9,3403,0.3,4.56,0.74,44.81,0,445,0,1,49.39,
08_1a.block--drbd--drbd.014,4.47,0.82,2,4.47,0.01,9,3400,0.24,4.46,0.05,46.31,1.18,463,0,1,50.78,
08_1a.block--drbd--drbd.015,4.72,0.82,2,4.72,0.02,9,3420,0.27,4.7,0.06,47.99,1.28,668,0,1,52.71,
08_1a.block--drbd--drbd.016,4.3,0.82,2,4.3,0.01,9,3421,0.24,4.29,0.06,45.42,1.17,638,0,1,49.72,
08_1a.block--drbd--drbd.017,4.59,0.82,2,4.59,0.02,9,3421,0.3,4.57,0.06,45.29,1.51,649,0,1,49.88,
08_1a.block--drbd--drbd.018,4.88,0.82,2,4.88,0.02,9,3427,0.38,4.86,0.74,43.95,0,463,0,1,48.83,
08_1a.block--drbd--drbd.019,4.77,0.82,2,4.77,0.02,9,3423,0.26,4.75,0.05,45.59,0,663,0,1,50.36,
08_1a.block--drbd--drbd.002,3.69,0.82,2,3.69,0.02,9,3461,0.26,3.67,0.05,39.35,0,660,0,1,43.04,
08_1a.block--drbd--drbd.020,4.74,0.82,2,4.74,0.02,9,3423,0.31,4.72,0.07,47.35,1.4,659,0,1,52.09,
08_1a.block--drbd--drbd.021,4.57,0.82,2,4.57,0.02,9,3415,0.4,4.55,0.05,44.66,1.3,497,0,1,49.23,
08_1a.block--drbd--drbd.022,4.63,0.82,2,4.63,0.01,9,3434,0.28,4.62,0.07,45.48,1.22,652,0,1,50.11,
08_1a.block--drbd--drbd.023,4.68,0.82,2,4.68,0.02,9,3421,0.23,4.66,0.06,48.36,1.24,662,0,1,53.04,
08_1a.block--drbd--drbd.024,4.84,0.82,2,4.84,0.02,9,3421,0.29,4.82,0.04,45.64,1.24,653,0,1,50.48,
08_1a.block--drbd--drbd.025,4.75,0.85,2,4.75,0.02,11,3435,0.25,4.73,0.07,46.22,1.15,458,0,1,50.97,
08_1a.block--drbd--drbd.026,4.81,0.82,2,4.81,0.02,9,3432,0.32,4.79,0.05,47.8,1.3,659,0,1,52.61,
08_1a.block--drbd--drbd.027,4.77,0.82,2,4.77,0.02,9,3432,0.31,4.75,0.72,44.58,0,452,0,1,49.35,
08_1a.block--drbd--drbd.028,4.63,0.82,2,4.63,0.02,9,3429,0.3,4.61,0.77,47.52,1.22,458,0,1,52.15,
08_1a.block--drbd--drbd.029,5.45,0,47,5.45,0.97,0,3431,0.49,0,0.07,46.97,0,466,2,1,52.42,
08_1a.block--drbd--drbd.003,3.94,0.82,2,3.94,0.01,9,3387,0.45,3.93,0.04,39.42,0.9,628,0,1,43.36,
08_1a.block--drbd--drbd.030,4.54,0.82,2,4.54,0.02,9,3422,0.26,4.52,0.04,48.4,1.14,639,0,1,52.94,
08_1a.block--drbd--drbd.043,6.25,0.82,2,6.25,0.02,9,3420,0.24,6.23,0.06,47.4,1.13,478,0,1,53.65,
08_1a.block--drbd--drbd.046,6.03,0.82,2,6.03,0.03,9,3502,0.26,6,0.06,48.45,1.11,469,0,1,54.48,
08_1a.block--drbd--drbd.047,4.63,0.82,2,4.63,0.02,9,3502,0.43,4.61,0.06,47.51,1.57,517,0,1,52.14,
08_1a.block--drbd--drbd.048,6.25,0.82,2,6.25,0.02,9,3509,0.27,6.23,0.06,48.11,1.18,491,0,1,54.36,
08_1a.block--drbd--drbd.049,4.72,0.82,2,4.72,0.02,9,3500,0.2,4.7,0.04,45.47,1.23,533,0,1,50.19,
08_1a.block--drbd--drbd.050,6.11,0.82,2,6.11,0.03,9,3490,0.23,6.08,0.08,45.43,1.17,461,0,1,51.54,
08_1a.block--drbd--drbd.051,4.46,0.82,2,4.46,0.03,9,3492,0.29,4.43,0.74,45.55,1.24,501,0,1,50.01,
08_1a.block--drbd--drbd.052,6.02,0.82,2,6.02,0.02,9,3505,0.25,6,0.06,45.31,1.13,469,0,1,51.33,
08_1a.block--drbd--drbd.053,6.14,0.82,2,6.14,0.02,9,3499,0.26,6.12,0.06,45.21,0,450,0,1,51.35,
08_1a.block--drbd--drbd.004,5.46,0,47,5.46,0.9,0,3385,0.28,0,0.06,48.49,1.14,652,2,1,53.95,
